,ship-city,ship-state,ship-postal-code
36144,GURUGRAM,Haryana,122003.0
36145,CHENNAI,Tamil Nadu,600083.0
36146,GUNTUR,Andhra Pradesh,522006.0
36147,KUMARAPALAYAM,Tamil Nadu,638183.0
36148,KUMARAPALAYAM,Tamil Nadu,638183.0
36149,BENGALURU,Karnataka,560043.0
36150,BENGALURU,Karnataka,560096.0
36151,BENGALURU,Karnataka,560100.0
36152,NUZVID,Andhra Pradesh,521201.0
36153,UDAIPUR,Rajasthan,313011.0
36154,MATHURA,Uttar Pradesh,281001.0
36155,NEW DELHI,Delhi,110010.0
36156,Rudrapur,Uttarakhand,263153.0
36157,SIDDIPET,Telangana,502103.0
36158,MUMBAI,Maharashtra,400060.0
36159,MUMBAI,Maharashtra,400060.0
36160,BENGALURU,Karnataka,560102.0
36161,BENGALURU,Karnataka,560102.0
36162,GREATER NOIDA WEST,Uttar Pradesh,201306.0
36163,MUMBAI,Maharashtra,400066.0
36164,MUMBAI,Maharashtra,400066.0
36165,HYDERABAD,Telangana,500039.0
36166,BARUIPUR,West Bengal,700144.0
36167,lucknow,Uttar Pradesh,226006.0
36168,Patna,Bihar,800026.0
36169,BENGALURU,Karnataka,560102.0
36170,BARASAT,West Bengal,700127.0
36171,PUNE,Maharashtra,411045.0
36172,PUNE,Maharashtra,411045.0
36173,LUCKNOW,Uttar Pradesh,226028.0
36174,BENGALURU,Karnataka,560098.0
36175,Nagaon,Assam,782001.0
36176,BENGALURU,Karnataka,561203.0
36177,ANUPGARH,Rajasthan,335701.0
36178,MUMBAI,Maharashtra,400062.0
36179,BOKARO STEEL CITY,Jharkhand,827003.0
36180,BOKARO STEEL CITY,Jharkhand,827003.0
36181,Kalavoor,Kerala,688522.0
36182,BENGALURU,Karnataka,560100.0
36183,GURUGRAM,Haryana,122011.0
